ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9379883,0.2587891,0.078125,0.9575195,-0.1918945,0.144043,3,0,-1,0,0,-2,-1,-1,-1,0,-1,-1,0,1,-1,0,-0.8125,-0.8125,-0.8125,0.1875,0.1875,0.1875,7.058618,2.945662,2.765791,3.447777,2.881327,7.958784,-0.2116194,-0.4280392,1.50468,0.2102235,-0.415075,1.525412,-0.01160508,0.4323702,1.585415,-0.158849,-0.4198395,1.477799,0.2537682,-0.4060654,1.520846,-0.007547959,-0.02943859,1.60741,-0.0006711721,-0.3405266,1.588264,-0.185622,0.1279945,1.575264,-0.07807368,-0.333581,1.553268,-0.233096,-0.1312628,1.577546,0.216114,-0.1286291,1.596234,NA,NA,NotTracked,NotTracked,
0.9306641,0.253418,0.08007813,0.9692383,-0.184082,0.1474609,-9,-2,-1,-1,0,-2,-1,0,-2,0,-1,-1,-1,-2,0,0,-0.8125,-0.8125,-0.8125,-1.125,-1.125,-1.125,7.057059,2.944928,2.76569,3.449666,2.880999,7.956438,-0.2118351,-0.428762,1.50489,0.2103626,-0.4152342,1.526014,-0.01159477,0.4323873,1.585374,-0.1588733,-0.4293687,1.476152,0.2540715,-0.400153,1.522535,-0.007608572,-0.02943629,1.607388,-0.0007799643,-0.3405142,1.588261,-0.1857702,0.1281195,1.575212,-0.07817786,-0.3335572,1.553198,-0.2332556,-0.1310576,1.577175,0.2161111,-0.1285995,1.596191,NA,NA,NotTracked,NotTracked,
0.9365234,0.2592773,0.07568359,0.9663086,-0.1904297,0.140625,-4,0,0,-1,0,0,0,0,0,-1,-1,-1,-3,0,2,-6,-0.25,-0.25,-0.25,0.5,0.5,0.5,7.056344,2.945054,2.766541,3.450043,2.881296,7.955607,-0.2115735,-0.4283626,1.503484,0.2097553,-0.415466,1.524364,-0.01156545,0.4323449,1.585334,-0.1608477,-0.4122739,1.480255,0.2522902,-0.4147036,1.517714,-0.007680118,-0.02947459,1.607327,-0.0008382814,-0.3405572,1.588194,-0.1858169,0.1280688,1.57502,-0.07822206,-0.3336187,1.553064,-0.2333807,-0.1313885,1.576934,0.2161075,-0.1285848,1.596184,NA,NA,NotTracked,NotTracked,
0.9375,0.2587891,0.07373047,0.9624023,-0.1831055,0.1474609,0,-1,-1,0,0,-1,-1,0,-1,-2,-1,-2,-1,-4,-1,0,-0.0625,-0.0625,-0.0625,0.3125,0.3125,0.3125,7.054172,2.944102,2.767338,3.454942,2.881316,7.952108,-0.2116959,-0.4280086,1.502357,0.2095306,-0.4148627,1.524151,-0.01155738,0.4323292,1.585105,-0.1842478,-0.4456693,1.457687,0.2527052,-0.4026433,1.52031,-0.007708447,-0.02945512,1.607068,-0.0009320671,-0.3405186,1.587958,-0.1858937,0.1280596,1.574554,-0.07828169,-0.3336058,1.552911,-0.2334452,-0.1313649,1.576573,0.2161035,-0.1286158,1.596049,NA,NA,NotTracked,NotTracked,
0.9423828,0.2607422,0.07666016,0.9663086,-0.1870117,0.1396484,-1,-2,0,-3,-1,-1,-1,1,-4,0,4,0,-3,-4,-3,-7,-1.4375,-1.4375,-1.4375,-0.4375,-0.4375,-0.4375,7.052983,2.943967,2.767691,3.457184,2.881046,7.950021,-0.2115244,-0.4287828,1.503086,0.2092728,-0.4149965,1.524309,-0.01156163,0.4324571,1.585019,-0.1598837,-0.4159351,1.477379,0.2527532,-0.4012368,1.521708,-0.007791255,-0.02936513,1.606825,-0.001046138,-0.3404457,1.587796,-0.1859305,0.1281606,1.574319,-0.07843073,-0.333519,1.552657,-0.2336077,-0.1311813,1.576188,0.2161057,-0.1286522,1.595917,NA,NA,NotTracked,NotTracked,
0.9404297,0.2592773,0.07714844,0.9643555,-0.1860352,0.1464844,-1,-2,0,0,0,0,-1,1,-5,-1,0,-2,-1,-3,-3,2,-1.125,-1.125,-1.125,-0.75,-0.75,-0.75,7.048924,2.943859,2.769391,3.45936,2.880898,7.947221,-0.2114139,-0.4285496,1.502679,0.2094865,-0.4152212,1.52449,-0.01149853,0.4325692,1.584687,-0.1607561,-0.4169669,1.476214,0.2535154,-0.4055029,1.522962,-0.00779384,-0.02934526,1.606652,-0.001073313,-0.3404663,1.587635,-0.1859257,0.1282406,1.57394,-0.07844919,-0.3335249,1.552477,-0.2335301,-0.1312518,1.575855,0.2160676,-0.128618,1.595864,NA,NA,NotTracked,NotTracked,
0.9360352,0.2583008,0.08007813,0.9736328,-0.1821289,0.1425781,5,0,-1,-1,-1,-1,0,1,0,-2,-3,-1,-1,-2,-3,2,-1.3125,-1.3125,-1.3125,-0.875,-0.875,-0.875,7.04075,2.944058,2.774639,3.46391,2.881107,7.9424,-0.2103775,-0.4286009,1.502187,0.2093107,-0.4154481,1.524381,-0.0114615,0.432649,1.584509,-0.1616622,-0.4197429,1.475464,0.2532975,-0.4058699,1.524417,-0.00777065,-0.02938158,1.606468,-0.001070937,-0.3405076,1.587492,-0.1859152,0.1281548,1.573498,-0.0784435,-0.3335554,1.552157,-0.2335508,-0.1313481,1.575663,0.2160817,-0.1286339,1.595836,NA,NA,NotTracked,NotTracked,
0.9604492,0.2607422,0.08398438,1.017578,-0.171875,0.1689453,0,10,6,0,-1,-2,-1,-2,-1,-1,-2,-5,-8,-6,-2,-1,-1.6875,-1.6875,-1.6875,-10.8125,-10.8125,-10.8125,7.025282,2.947289,2.788972,3.490788,2.897729,7.903715,-0.20967,-0.4283035,1.500679,0.2090477,-0.4154604,1.522572,-0.01139804,0.4326521,1.584323,-0.1594121,-0.4142225,1.4762,0.2515245,-0.4169852,1.519,-0.007807969,-0.02951892,1.606161,-0.001045616,-0.3406414,1.587265,-0.1858243,0.127856,1.573023,-0.07839695,-0.3337289,1.55177,-0.2334928,-0.1313873,1.575494,0.2159824,-0.1288119,1.595675,NA,NA,NotTracked,NotTracked,
1.060059,0.2763672,0.1503906,1.07959,-0.1743164,0.2211914,-1,5,0,-1,-1,-2,0,-2,-2,-3,-4,-8,-27,5,-2,-3,3.375,3.375,3.375,-36.25,-36.25,-36.25,6.951985,2.967589,2.865581,3.565594,2.953211,7.778595,-0.2070612,-0.4258835,1.495862,0.2070081,-0.4122275,1.517546,-0.01131461,0.4328119,1.584034,-0.1577435,-0.4255015,1.47218,0.2474478,-0.4013177,1.511526,-0.007748474,-0.02951035,1.605863,-0.001016094,-0.3406362,1.586986,-0.1858801,0.1278064,1.572475,-0.07834278,-0.3337334,1.551465,-0.2334852,-0.1312986,1.575486,0.2158618,-0.1286458,1.595742,NA,NA,NotTracked,NotTracked,
1.010742,0.3022461,0.1396484,1.034668,-0.5,0.1054688,-1,0,-6,-5,-1,0,-4,-1,5,1,-2,-2,-11,-4,0,-3,2.8125,2.8125,2.8125,-33.1875,-33.1875,-33.1875,6.766368,3.026633,3.064885,3.590281,3.153937,7.641432,-0.2013196,-0.4194725,1.48064,0.1979054,-0.4024391,1.498532,-0.01117726,0.4329972,1.583387,-0.1513799,-0.4160581,1.467452,0.2357729,-0.4068946,1.485643,-0.007692583,-0.02922222,1.60514,-0.00109017,-0.3403507,1.5863,-0.1860466,0.1278949,1.572413,-0.07845969,-0.3334951,1.550969,-0.233386,-0.1306375,1.575779,0.2152525,-0.1274604,1.596458,NA,NA,NotTracked,NotTracked,
