ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.9277344,0.9306641,0.9345703,0.9228516,0.9125977,0.9321289,0.9370117,0.9985352,1.212402,1.32666,1.009277,0.4985352,0.1762695,0.05664063,0.02587891,-0.1176758,-0.472168,-0.6450195,-0.5854492,-0.5224609,-0.3261719,-0.1098633,0.206543,0.5048828,0.4243164,0.06835938,-0.1772461,-0.4282227,-0.4082031,-0.4487305,-0.4873047,-0.324707,-0.1601563,-0.3535156,-0.1420898,-0.6889648,-0.6176758,-0.4150391,-0.1625977,-0.05810547,0.3320313,0.1616211,-0.05908203,-0.1811523,-0.1533203,0,0,0,0,0,0,0,0,0,0
Action 1,ALY,0.2919922,0.2988281,0.2890625,0.2797852,0.2949219,0.2958984,0.2875977,0.293457,0.4858398,0.6772461,0.7685547,0.8066406,0.546875,0.6254883,0.6020508,0.6230469,0.7080078,0.7875977,0.9077148,0.9882813,1.041504,0.8896484,1.041504,1.103516,1.173828,1.165527,1.082031,0.9794922,0.8642578,0.7910156,0.7773438,0.8989258,0.9467773,1.037109,0.9521484,0.7944336,0.8466797,0.9306641,1.039551,1.01416,1.040527,1.046875,0.9667969,0.8647461,0.8066406,0,0,0,0,0,0,0,0,0,0
Action 1,ALZ,0.1166992,0.1210938,0.1235352,0.1103516,0.1020508,0.1171875,0.1098633,0.01953125,-0.04980469,0.1572266,0.3178711,0.4550781,0.4047852,0.3110352,0.2885742,0.1875,0.07958984,0.2260742,0.3022461,0.4257813,0.402832,0.6010742,0.3793945,0.1044922,0.1542969,0.4033203,0.5454102,0.5913086,0.4458008,0.1665039,0.05908203,0.05322266,0.03320313,-0.1420898,0.1069336,0.2768555,0.331543,0.4052734,0.4272461,0.3476563,0.2133789,0.1616211,0.1591797,0.1977539,0.2167969,0,0,0,0,0,0,0,0,0,0
Action 1,ARX,0.9711914,0.972168,0.972168,0.9633789,0.9775391,0.9682617,0.9702148,0.9931641,0.9838867,0.9746094,0.9799805,0.9672852,0.9545898,0.9609375,0.9550781,0.9379883,0.9331055,0.9082031,0.9291992,0.9677734,0.953125,0.9790039,0.9545898,0.9677734,0.9716797,0.9658203,0.9555664,0.9228516,0.9145508,0.9375,0.9311523,0.9462891,0.9648438,0.9467773,0.9433594,0.9140625,0.9594727,0.9570313,0.9526367,0.940918,0.96875,0.949707,0.9438477,0.9179688,0.9223633,0,0,0,0,0,0,0,0,0,0
Action 1,ARY,-0.2192383,-0.2114258,-0.2094727,-0.2075195,-0.2006836,-0.2094727,-0.2050781,-0.2084961,-0.2099609,-0.2182617,-0.2387695,-0.2270508,-0.2304688,-0.2250977,-0.2143555,-0.2558594,-0.2675781,-0.2905273,-0.3046875,-0.2836914,-0.262207,-0.2709961,-0.2763672,-0.2612305,-0.2773438,-0.284668,-0.2939453,-0.2915039,-0.3144531,-0.3100586,-0.2939453,-0.2734375,-0.2578125,-0.2641602,-0.2651367,-0.2939453,-0.2993164,-0.2827148,-0.2749023,-0.2851563,-0.277832,-0.2919922,-0.2924805,-0.2954102,-0.2617188,0,0,0,0,0,0,0,0,0,0
Action 1,ARZ,0.08251953,0.08398438,0.07714844,0.08935547,0.07519531,0.08203125,0.08349609,0.07910156,0.04589844,0.07128906,0.08447266,0.1020508,0.1040039,0.09326172,0.07421875,0.08837891,0.1054688,0.137207,0.1635742,0.1459961,0.1030273,0.1210938,0.1064453,0.06103516,0.05761719,0.09570313,0.1611328,0.1757813,0.1992188,0.1630859,0.1342773,0.1064453,0.06542969,0.04785156,0.1000977,0.1362305,0.1665039,0.1152344,0.1030273,0.1005859,0.09667969,0.1181641,0.1220703,0.1542969,0.1552734,0,0,0,0,0,0,0,0,0,0
Action 1,EMG0L,-6,-5,-11,6,4,-1,-4,-5,6,3,-6,-17,0,-12,27,-15,5,7,4,-3,-9,0,-3,2,-4,2,3,7,15,-7,4,1,-1,-6,-13,-5,-11,-7,5,-27,-9,-11,-9,4,-3,0,0,0,0,0,0,0,0,0,0
Action 1,EMG1L,1,1,3,2,-3,-3,-3,-2,8,9,0,4,6,7,-19,13,4,18,-4,-6,-4,-10,-11,-2,1,4,13,7,26,-21,0,-1,2,0,-13,-7,-15,-2,1,-4,1,-1,-7,7,5,0,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,0,0,0,1,2,0,-1,-8,13,16,39,-14,-22,-11,-13,-11,-2,8,4,0,2,-12,6,-4,-12,-15,-5,-8,21,-26,-21,9,0,-2,-12,7,-19,9,4,-3,-2,-2,1,-1,-2,0,0,0,0,0,0,0,0,0,0
Action 1,EMG3L,-3,-3,-2,2,-1,-2,0,-7,-16,-25,-3,23,-56,-89,-58,107,-87,-3,20,2,-18,-8,-6,6,55,19,-49,-3,81,-115,-57,38,-4,-14,-33,-9,-38,51,0,-27,-21,-11,-7,0,2,0,0,0,0,0,0,0,0,0,0
