ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85
Action  1,ALX,0.9682617,0.9736328,0.9716797,0.9765625,0.9726563,0.9580078,0.9731445,0.9829102,0.9594727,0.8925781,0.9462891,1.035156,1.019531,0.953125,0.9326172,0.9853516,0.9765625,0.949707,0.9472656,0.9277344,0.9335938,0.9570313,1.000977,1.029785,0.9755859,0.9492188,0.9248047,0.940918,0.9663086,0.980957,0.9731445,0.9550781,0.9433594,0.9272461,0.9462891,0.9711914,0.9580078,0.9731445,0.9550781,0.9394531,0.9458008,0.9536133,0.9658203,0.9599609,0.9584961,0.9526367,0.9511719,0.9580078,0.9604492,0.9580078,0.949707,0.9526367,0.9516602,0.9575195,0.980957,0.9711914,0.9599609,0.9638672,0.965332,0.949707,0.9658203,0.9619141,0.9555664,0.9697266,0.9711914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ALY,-0.2104492,-0.2094727,-0.2124023,-0.2138672,-0.2138672,-0.2172852,-0.2021484,-0.2124023,-0.2260742,-0.234375,-0.2514648,-0.2133789,-0.1831055,-0.2119141,-0.2226563,-0.1992188,-0.2836914,-0.262207,-0.2568359,-0.2875977,-0.2822266,-0.25,-0.21875,-0.2495117,-0.2646484,-0.2207031,-0.2924805,-0.2568359,-0.2167969,-0.1972656,-0.3305664,-0.1962891,-0.2089844,-0.3164063,-0.2739258,-0.2348633,-0.2304688,-0.3012695,-0.2529297,-0.2392578,-0.2822266,-0.2763672,-0.2363281,-0.269043,-0.253418,-0.2558594,-0.2612305,-0.2558594,-0.2509766,-0.2626953,-0.2573242,-0.2529297,-0.246582,-0.2485352,-0.2480469,-0.2407227,-0.253418,-0.2451172,-0.2617188,-0.2524414,-0.2475586,-0.2368164,-0.2373047,-0.2182617,-0.2104492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ALZ,0.07226563,0.08154297,0.07470703,0.07373047,0.06884766,0.07080078,0.07080078,0.07714844,0.07080078,0.1025391,0.1333008,0.06347656,0.01367188,0.04492188,0.09228516,0.0859375,0.08886719,0.09179688,0.09570313,0.1049805,0.1010742,0.06884766,0.078125,0.08398438,0.0703125,0.1020508,0.125,0.08105469,0.05029297,0.05273438,0.05419922,0.06152344,0.07373047,0.1318359,0.1035156,0.05322266,0.04785156,0.0859375,0.09375,0.08398438,0.1166992,0.1010742,0.09082031,0.08691406,0.09326172,0.09082031,0.09423828,0.09814453,0.08642578,0.09082031,0.09033203,0.08642578,0.07373047,0.08105469,0.08349609,0.07910156,0.07958984,0.09277344,0.1113281,0.105957,0.1123047,0.1015625,0.1010742,0.1010742,0.08203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ARX,0.8989258,0.8583984,0.8657227,0.8842773,0.9008789,0.8696289,0.8662109,0.9697266,1.081543,1.007813,0.3730469,-0.05664063,-0.03759766,0.04882813,0.2993164,0.02685547,-0.3212891,-0.6162109,-0.4907227,-0.3398438,-0.3691406,-0.3691406,-0.4912109,-0.5800781,-0.4765625,-0.5678711,-0.4887695,-0.3212891,-0.4780273,-0.4780273,-0.6899414,-0.605957,-0.5097656,-0.4350586,-0.4560547,-0.4790039,-0.4790039,-0.6411133,-0.5200195,-0.4482422,-0.5053711,-0.449707,-0.5029297,-0.4848633,-0.4814453,-0.4658203,-0.4506836,-0.4506836,-0.4570313,-0.4667969,-0.4667969,-0.4296875,-0.3779297,-0.3779297,-0.03222656,-0.01806641,0.007324219,0.007324219,0.1259766,0.3188477,0.4648438,0.7763672,0.6655273,0.7641602,0.7641602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ARY,0.3803711,0.3178711,0.402832,0.3847656,0.4238281,0.4140625,0.4052734,0.4697266,0.5917969,0.8857422,0.6914063,0.5561523,0.621582,0.605957,0.6914063,0.6953125,0.769043,0.7875977,0.8549805,0.8417969,0.7045898,0.7045898,0.7485352,0.9013672,0.949707,0.8183594,0.8168945,0.7626953,0.7294922,0.7294922,0.9648438,0.8251953,0.8032227,0.7646484,0.7792969,0.7714844,0.7714844,0.8886719,0.8442383,0.84375,0.7836914,0.8139648,0.7636719,0.7768555,0.8139648,0.8188477,0.7983398,0.7983398,0.8027344,0.7993164,0.7993164,0.8027344,0.7675781,0.7675781,0.5820313,0.5913086,0.7119141,0.7119141,0.7446289,0.8183594,0.8393555,0.7739258,0.8574219,0.6665039,0.6665039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ARZ,0.1416016,0.1474609,0.1503906,0.1401367,0.137207,0.140625,0.1489258,0.09228516,0.1821289,0.8632813,1.003418,0.6367188,0.7260742,0.7368164,0.609375,0.2460938,0.02832031,0.3427734,0.5776367,0.6713867,0.4326172,0.4326172,0.1469727,0.112793,0.4057617,0.4736328,0.5297852,0.5117188,0.3774414,0.3774414,0.04052734,0.2124023,0.5327148,0.4707031,0.4365234,0.40625,0.40625,0.1567383,0.2763672,0.4458008,0.4179688,0.3911133,0.4008789,0.4003906,0.3916016,0.3974609,0.3920898,0.3920898,0.4072266,0.4077148,0.4077148,0.4047852,0.4033203,0.4033203,0.40625,0.4980469,0.5864258,0.5864258,0.71875,0.5986328,0.6567383,0.5947266,0.5078125,0.5009766,0.5009766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG0L,-3,-3,-1,0,-3,-11,3,-2,-3,-1,2,3,-6,-6,-1,-1,2,-6,-10,0,-1,-6,-8,-1,-1,-3,-5,-3,-5,2,5,-1,-4,-4,-17,4,3,-7,-3,-1,-1,15,-1,-10,7,-1,0,-3,2,3,2,-1,-3,-4,0,-4,-3,-2,0,3,-2,1,2,5,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG1L,-4,0,0,1,-2,-6,3,-4,-6,-1,-2,0,-2,-12,-1,-2,-2,-6,-6,-2,-2,-1,-6,0,-2,-1,2,-2,-4,4,2,-1,-2,0,-14,5,1,-2,-2,11,-19,1,0,-9,-1,6,1,-4,4,3,1,0,-3,-3,-2,-6,-3,-4,-3,2,-1,0,2,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG2L,0,-2,-1,-2,-1,1,-1,-1,-1,-2,-3,0,-2,-2,-3,-2,0,0,-4,-1,-3,-1,-1,2,-4,-1,0,-3,-1,-2,0,-2,-2,0,-2,0,0,0,0,0,-1,-2,-1,-4,-2,-3,2,-2,-1,-1,-1,1,-3,-1,0,-1,-1,-3,0,-1,-4,0,-3,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG3L,-2,-1,0,0,0,1,-2,-3,-1,-3,-2,4,3,-2,-4,0,-3,-2,-3,0,-1,-2,0,-1,1,1,0,-3,-2,-2,-1,-2,1,-1,-2,1,-1,-1,-2,-1,0,-1,0,-2,-1,-1,0,-2,-1,-1,-1,1,-2,0,-1,-1,-1,-1,-1,-2,2,-1,0,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG4L,0,-1,-1,0,0,1,-2,-1,-1,-4,0,3,-2,-3,-1,-1,-5,0,-4,-1,-4,0,0,-3,1,-1,2,-4,-1,0,1,-2,-4,1,-2,-2,-1,-1,-2,1,-1,-1,1,-2,0,-2,-1,0,-1,0,1,-1,-2,-1,-1,0,-2,-1,-1,0,-1,-3,-1,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG5L,0,-3,-1,-1,-2,-1,1,-2,-2,-2,2,0,-2,-1,-1,-1,-3,-4,-5,2,-2,0,-1,-3,1,-3,0,-1,-1,1,0,-2,-5,-2,1,0,0,0,-2,-1,-2,-1,2,-3,-1,-4,0,-2,-2,1,-1,0,0,0,0,-4,-5,-1,-3,-1,-3,-1,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG6L,-2,1,3,0,4,-1,-1,-3,3,-5,-4,1,-2,-7,-2,2,0,-3,0,-1,-3,-2,-1,3,-2,-5,-2,-2,1,-4,0,0,-1,1,-3,-1,2,1,1,-6,1,2,1,-2,0,1,-2,-6,2,-1,0,0,-2,2,2,1,3,-6,3,-5,1,0,-3,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG7L,-4,0,-4,0,5,-1,1,-1,3,-4,-2,22,-11,-5,-9,-1,1,-2,-35,0,-8,-3,-11,-1,0,-3,4,-17,-4,0,17,-14,-5,-6,-16,4,0,-10,-3,-2,-3,3,-4,-6,-3,-1,0,-9,4,5,-1,-1,-3,-5,-1,0,1,-3,0,-1,1,-2,-2,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG0R,-3,-2,-1,0,-2,-3,-1,-1,2,-11,-10,0,-10,-19,2,-10,2,13,-4,-3,2,4,6,-4,-2,5,-7,10,12,13,-10,-4,-10,-9,-2,5,11,6,1,-6,-3,5,1,3,-3,-3,3,-1,5,4,0,5,3,5,-19,3,0,-4,-8,-5,-26,-7,-2,-13,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG1R,2,-1,1,0,2,2,-6,3,-19,-17,-9,2,-1,-5,1,7,4,7,3,-9,6,14,-12,-13,1,10,2,-2,7,7,2,-7,-6,-2,2,-8,14,-1,-1,-5,-6,-1,-2,1,-1,-3,0,2,8,-4,-6,1,2,9,-26,2,0,-7,-13,0,-16,7,-4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG2R,-5,-6,-1,-2,-2,-1,0,13,2,-77,-12,-24,-11,24,-7,10,-2,5,1,-8,4,-1,0,-5,5,10,-1,5,-3,0,1,2,-6,3,-3,-2,-1,3,-3,-2,-3,-4,-2,2,-1,-1,1,-5,5,-3,-1,0,0,-3,-2,3,1,1,-4,-4,-5,-1,3,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG3R,-5,-2,-1,0,-4,-1,-1,-1,4,17,-6,-6,-11,-1,-1,2,-7,6,1,-10,-2,-7,-2,-4,1,8,3,10,0,2,0,4,-6,-3,-6,-4,-3,-4,0,1,-2,1,-1,-1,-4,3,-3,-3,-1,-4,1,0,2,-3,6,-4,-3,4,-6,-8,-1,-7,1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG4R,1,-1,-4,-2,-5,-2,2,-1,8,-50,21,1,4,-28,-2,3,-10,7,2,-38,-22,-11,-5,-7,1,5,3,13,-2,15,-5,1,0,-15,-5,-2,5,12,-5,-3,-1,1,-2,2,1,-2,3,-3,-1,1,-1,1,6,-1,-11,2,10,-5,4,-2,-2,-1,-1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG5R,-13,-4,1,-8,-5,-3,-11,-9,29,-11,18,-14,0,14,-7,1,87,64,-14,-11,11,-6,-2,-22,1,2,-13,41,2,-19,11,19,-15,-5,-8,-3,-6,0,-4,1,1,-5,4,-1,-1,-3,0,-4,0,1,4,4,0,-2,4,-6,1,21,3,1,-14,-5,1,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG6R,-1,1,-1,-2,9,3,-2,-7,-6,-3,7,4,3,6,-2,12,-4,6,-2,-14,-3,-14,19,-4,-6,2,0,0,-3,-2,-2,2,3,0,-3,2,-3,-2,-3,-1,2,-2,-1,-1,1,-1,1,-1,-2,0,-2,-2,7,-1,0,-9,-3,2,-1,-1,-2,8,-1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,EMG7R,-17,-7,-3,1,3,0,1,-7,4,-14,-5,10,-9,-5,-16,4,8,3,-4,-11,11,2,13,0,-3,3,3,10,9,5,-16,-6,-3,-8,-6,13,1,7,-10,-6,0,1,2,-3,3,1,2,-4,1,1,-6,1,2,0,-3,-2,6,-2,-5,1,-6,-3,-5,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,GLX,-1.4375,-1.9375,0.8125,2.125,-1.375,0.875,2.625,2.8125,-5.125,-23.6875,-30.1875,-26.5,-19.125,-20.25,9.5,10.5625,-0.8125,2.6875,-15.75,-15.125,-7.1875,7.375,16.5,11.0625,15.125,-5.1875,-18.625,9.9375,13.375,11.125,1.8125,0.5625,-14.125,-14.1875,6.625,4.125,2.25,-4.625,3.75,-7.5,-6.625,6,3.6875,-1.875,1.375,1.4375,1.875,2.125,0.9375,2,4.1875,5.6875,11.375,16.125,19.125,17.375,14.5625,14.5625,13.75,11.875,6.75,-1.5,-5.375,-7.25,-5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,GLY,-1.4375,-1.9375,0.8125,2.125,-1.375,0.875,2.625,2.8125,-5.125,-23.6875,-30.1875,-26.5,-19.125,-20.25,9.5,10.5625,-0.8125,2.6875,-15.75,-15.125,-7.1875,7.375,16.5,11.0625,15.125,-5.1875,-18.625,9.9375,13.375,11.125,1.8125,0.5625,-14.125,-14.1875,6.625,4.125,2.25,-4.625,3.75,-7.5,-6.625,6,3.6875,-1.875,1.375,1.4375,1.875,2.125,0.9375,2,4.1875,5.6875,11.375,16.125,19.125,17.375,14.5625,14.5625,13.75,11.875,6.75,-1.5,-5.375,-7.25,-5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,GLZ,-1.4375,-1.9375,0.8125,2.125,-1.375,0.875,2.625,2.8125,-5.125,-23.6875,-30.1875,-26.5,-19.125,-20.25,9.5,10.5625,-0.8125,2.6875,-15.75,-15.125,-7.1875,7.375,16.5,11.0625,15.125,-5.1875,-18.625,9.9375,13.375,11.125,1.8125,0.5625,-14.125,-14.1875,6.625,4.125,2.25,-4.625,3.75,-7.5,-6.625,6,3.6875,-1.875,1.375,1.4375,1.875,2.125,0.9375,2,4.1875,5.6875,11.375,16.125,19.125,17.375,14.5625,14.5625,13.75,11.875,6.75,-1.5,-5.375,-7.25,-5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,GRX,-3.4375,7.4375,10.1875,-8.75,-11.1875,-11.8125,3.625,-11.8125,-43.6875,-3.75,31.875,67.9375,83.1875,73.1875,44.5625,31.875,19.0625,20.625,29.0625,17.5,-2.25,-2.25,-13,-10.5625,-15.4375,0.125,7.75,-3.4375,-3.6875,-3.6875,-19.875,-15.125,-0.375,4.6875,-1.5,-7.9375,-7.9375,-19.1875,-8.625,-4.8125,3.3125,4.4375,-4.0625,0.625,0.375,-6.625,-1.5,-1.5,-5,0.4375,0.4375,-3.3125,-2.6875,-2.6875,-7,-6.875,-33.5,-33.5,-64.5,-16.6875,-28.25,-21.375,-50.25,-63.4375,-63.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,GRY,-3.4375,7.4375,10.1875,-8.75,-11.1875,-11.8125,3.625,-11.8125,-43.6875,-3.75,31.875,67.9375,83.1875,73.1875,44.5625,31.875,19.0625,20.625,29.0625,17.5,-2.25,-2.25,-13,-10.5625,-15.4375,0.125,7.75,-3.4375,-3.6875,-3.6875,-19.875,-15.125,-0.375,4.6875,-1.5,-7.9375,-7.9375,-19.1875,-8.625,-4.8125,3.3125,4.4375,-4.0625,0.625,0.375,-6.625,-1.5,-1.5,-5,0.4375,0.4375,-3.3125,-2.6875,-2.6875,-7,-6.875,-33.5,-33.5,-64.5,-16.6875,-28.25,-21.375,-50.25,-63.4375,-63.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,GRZ,-3.4375,7.4375,10.1875,-8.75,-11.1875,-11.8125,3.625,-11.8125,-43.6875,-3.75,31.875,67.9375,83.1875,73.1875,44.5625,31.875,19.0625,20.625,29.0625,17.5,-2.25,-2.25,-13,-10.5625,-15.4375,0.125,7.75,-3.4375,-3.6875,-3.6875,-19.875,-15.125,-0.375,4.6875,-1.5,-7.9375,-7.9375,-19.1875,-8.625,-4.8125,3.3125,4.4375,-4.0625,0.625,0.375,-6.625,-1.5,-1.5,-5,0.4375,0.4375,-3.3125,-2.6875,-2.6875,-7,-6.875,-33.5,-33.5,-64.5,-16.6875,-28.25,-21.375,-50.25,-63.4375,-63.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ORL,3.013069,3.035491,3.052657,3.063754,3.066809,3.058172,3.050344,3.047477,3.049551,3.046679,3.038977,3.00176,2.986025,3.012647,3.099191,3.139698,3.13229,3.128943,3.107567,3.069282,3.050064,3.015127,2.975824,2.963979,2.96921,2.985126,2.977368,2.98316,2.993861,2.997984,3.002256,3.039494,3.047461,3.050681,3.065777,3.067681,3.06434,3.050569,3.061241,3.061368,3.047306,3.045911,3.045538,3.033612,3.033642,3.035887,3.037995,3.042131,3.04197,3.045894,3.053313,3.057706,3.071106,3.085598,3.103876,3.118963,3.125869,3.130436,3.125596,3.112679,3.093345,3.066471,3.037976,3.016244,3.000985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,OPL,2.87074,2.868762,2.867414,2.866115,2.861899,2.85739,2.853976,2.85277,2.857243,2.856372,2.848401,2.83867,2.853113,2.887419,2.944553,2.969165,2.972021,2.967723,2.950865,2.932379,2.925367,2.915541,2.914784,2.915783,2.920576,2.92077,2.916233,2.915988,2.918819,2.922107,2.932256,2.93887,2.938744,2.941865,2.945001,2.942904,2.943913,2.94896,2.951755,2.948848,2.94564,2.945188,2.940121,2.936796,2.935392,2.934607,2.934067,2.932687,2.931397,2.930022,2.930618,2.930626,2.934495,2.938198,2.941018,2.940282,2.937781,2.933335,2.927434,2.919129,2.907732,2.893389,2.878186,2.863991,2.854153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,OYL,5.893801,5.867358,5.850809,5.842372,5.838112,5.845452,5.85815,5.865341,5.863934,5.836811,5.796077,5.77031,5.750694,5.686047,5.5931,5.572612,5.581423,5.58844,5.598512,5.617959,5.633592,5.674674,5.739177,5.757705,5.76781,5.754265,5.742908,5.737139,5.740896,5.742973,5.738158,5.704195,5.687699,5.650018,5.637594,5.641988,5.646278,5.656649,5.649026,5.644121,5.649145,5.654492,5.66104,5.66976,5.670669,5.670289,5.670251,5.668426,5.668967,5.666044,5.662725,5.66113,5.663195,5.66519,5.667348,5.672239,5.68199,5.693996,5.715054,5.74308,5.772491,5.801322,5.82532,5.840341,5.849217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,ORR,6.96104,6.947906,6.952847,6.937829,6.940847,6.931898,6.931461,6.919204,6.849292,6.609111,6.37035,6.323504,6.481143,6.615909,6.73428,6.885527,6.971714,6.93231,6.900594,6.901173,6.925018,6.925018,6.980535,6.967639,6.900871,6.850929,6.842508,6.851443,6.891322,6.891322,6.942968,6.915801,6.82389,6.815362,6.83209,6.842692,6.842692,6.866258,6.850403,6.803952,6.791232,6.80008,6.796691,6.790406,6.789382,6.782044,6.771098,6.771098,6.762478,6.759801,6.759801,6.755789,6.752528,6.752528,6.703745,6.671492,6.608399,6.608399,6.489054,6.486837,6.491961,6.53349,6.556813,6.562117,6.562117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,OPR,3.168614,3.186751,3.193315,3.194556,3.204813,3.224076,3.239013,3.271453,3.331068,3.609036,4.047966,4.836959,5.32832,5.536116,5.664327,5.772669,5.76634,5.770175,5.774377,5.775988,5.796672,5.796672,5.811039,5.832004,5.823501,5.835668,5.833992,5.812572,5.800265,5.800265,5.817891,5.828811,5.818876,5.815499,5.806823,5.804424,5.804424,5.802996,5.803113,5.781523,5.777664,5.765833,5.761412,5.758805,5.756999,5.753043,5.75023,5.75023,5.743876,5.742395,5.742395,5.737278,5.73329,5.73329,5.584416,5.461948,5.179084,5.179084,4.644252,4.337573,4.191356,3.806595,3.599779,3.502006,3.502006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  1,OYR,4.376132,4.393688,4.410629,4.417022,4.399818,4.386924,4.383412,4.394067,4.427051,4.69058,5.061591,5.57182,5.918752,6.113432,6.288221,6.504584,6.59807,6.480771,6.371511,6.375512,6.450402,6.450402,6.609381,6.569301,6.468906,6.385974,6.370996,6.410565,6.517655,6.517655,6.60494,6.559919,6.414015,6.402508,6.448766,6.484086,6.484086,6.584512,6.555692,6.486005,6.462093,6.451783,6.454576,6.450216,6.447456,6.443424,6.436669,6.436669,6.430879,6.428753,6.428753,6.424251,6.421383,6.421383,6.337468,6.273376,6.152953,6.152953,5.955851,5.851822,5.804199,5.651943,5.55718,5.505272,5.505272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action  2,ALX,0.9628906,0.9536133,0.9604492,0.9667969,0.9624023,0.9746094,0.9628906,0.9589844,0.9658203,0.9804688,0.9165039,0.9160156,0.9658203,1.005371,1.006348,0.9633789,0.9316406,0.9614258,0.9506836,0.9462891,0.9614258,0.9521484,0.9487305,0.9541016,0.9848633,0.9633789,0.9545898,0.9506836,0.9501953,0.9174805,0.9794922,0.9902344,1.01123,0.9775391,0.9370117,0.9501953,0.9848633,0.9716797,0.9575195,0.9555664,0.9648438,0.9941406,0.9702148,0.956543,0.9628906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
