ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.9594727,0.9560547,0.9580078,0.9526367,0.956543,0.9580078,0.956543,0.9838867,0.9692383,0.9418945,0.9331055,0.9858398,0.953125,0.9145508,0.940918,0.9575195,0.9423828,0.9589844,0.9541016,0.9453125,0.9604492,0.9736328,0.9736328,0.9555664,0.9599609,0.9702148,0.9575195,0.9350586,0.9355469,0.9584961,0.987793,0.984375,0.9394531,0.9624023,0.9536133,0.9682617,0.9677734,0.953125,0.9428711,0.9477539,0.9609375,0.9609375,0.9643555,0.9594727,0.9638672,0,0,0,0,0,0,0,0,0,0
Action 1,ALY,-0.2431641,-0.2373047,-0.2416992,-0.2485352,-0.2495117,-0.2490234,-0.2524414,-0.2597656,-0.2485352,-0.2680664,-0.2597656,-0.246582,-0.2456055,-0.2329102,-0.2451172,-0.2270508,-0.2397461,-0.28125,-0.2744141,-0.2783203,-0.2646484,-0.2666016,-0.2407227,-0.2470703,-0.2333984,-0.2270508,-0.2304688,-0.2412109,-0.2734375,-0.2416992,-0.206543,-0.2285156,-0.2299805,-0.2329102,-0.2314453,-0.2006836,-0.222168,-0.2246094,-0.2416992,-0.2255859,-0.2431641,-0.2353516,-0.2387695,-0.2333984,-0.237793,0,0,0,0,0,0,0,0,0,0
Action 1,ALZ,0.1176758,0.1132813,0.1220703,0.1147461,0.1132813,0.1132813,0.1171875,0.1201172,0.09521484,0.1420898,0.1279297,0.09765625,0.07958984,0.09375,0.1186523,0.1118164,0.1142578,0.1416016,0.1333008,0.1166992,0.1264648,0.121582,0.1142578,0.1245117,0.1152344,0.09960938,0.1064453,0.1386719,0.144043,0.1201172,0.09521484,0.1230469,0.1049805,0.1391602,0.1054688,0.1035156,0.1020508,0.105957,0.1176758,0.1118164,0.1191406,0.1098633,0.1152344,0.1254883,0.1152344,0,0,0,0,0,0,0,0,0,0
Action 1,ARX,0.909668,0.90625,0.9116211,0.9057617,0.90625,0.90625,0.909668,0.9858398,1.239746,1.142578,0.2910156,-0.6118164,-0.5522461,-0.3393555,-0.4018555,-0.5717773,-0.6655273,-0.8188477,-0.9135742,-0.8374023,-0.6196289,-0.605957,-0.5478516,-0.6362305,-0.4414063,-0.3476563,-0.2553711,-0.2939453,0.05029297,0.7001953,1.025391,0.8364258,1.036621,1.04248,0.9912109,0.8989258,0.8613281,0.9189453,0.9331055,0.9448242,0.9130859,0.9125977,0.9267578,0.9272461,0.9042969,0,0,0,0,0,0,0,0,0,0
Action 1,ARY,0.3291016,0.3295898,0.3266602,0.3310547,0.3334961,0.3349609,0.3354492,0.4179688,0.3325195,1.044434,0.8623047,0.4672852,0.8891602,0.6777344,0.5849609,0.4462891,0.4814453,0.597168,0.7358398,0.9174805,0.831543,0.7861328,0.7241211,0.7387695,0.7041016,0.7148438,0.6669922,0.7646484,0.784668,0.5585938,0.5673828,0.9384766,0.2412109,0.2050781,0.3515625,0.2919922,0.3789063,0.2236328,0.2568359,0.2861328,0.2709961,0.3261719,0.3012695,0.3032227,0.3085938,0,0,0,0,0,0,0,0,0,0
Action 1,ARZ,0.1572266,0.1557617,0.159668,0.1538086,0.1538086,0.1591797,0.1567383,0.02539063,0.206543,0.7451172,0.6362305,0.2578125,0.3955078,0.331543,0.1938477,0.1347656,0.2192383,0.1650391,0.07324219,0.1279297,0.2314453,0.184082,0.2285156,0.1806641,0.215332,0.3481445,0.4248047,0.5268555,0.5385742,0.5449219,0.496582,0.2861328,0.1494141,0.109375,0.137207,0.1982422,0.1674805,0.1474609,0.1132813,0.1171875,0.1206055,0.1386719,0.144043,0.1376953,0.1386719,0,0,0,0,0,0,0,0,0,0
Action 1,EMG0L,-11,-3,-1,0,-1,1,-2,0,-2,-1,-1,1,10,-12,5,-4,-3,-1,0,-1,0,2,-2,-3,-6,0,-1,-4,-2,-1,-2,-3,-2,-3,-1,-2,-1,0,0,-1,-1,-3,-2,-2,-1,0,0,0,0,0,0,0,0,0,0
Action 1,EMG1L,-3,-2,0,-1,-2,-2,-2,-3,-2,-2,-3,-3,-2,-2,0,0,0,-3,-1,-2,-3,0,-1,-2,-1,-3,0,1,-7,-5,-5,-2,1,-1,-1,-4,-1,-2,-1,-2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,3,0,1,-1,-1,-3,-4,0,-1,-3,-3,-1,-1,-1,-1,0,-1,-2,1,0,3,2,-1,-1,-1,1,-1,-2,0,-14,-3,-3,-1,-2,-3,2,-2,-2,-2,-2,0,-3,-1,0,-1,0,0,0,0,0,0,0,0,0,0
Action 1,EMG3L,0,-3,2,2,-2,-2,-4,2,1,-1,-3,-1,-2,-1,-1,-2,-2,-1,-2,-3,-1,2,-1,-2,-2,0,-1,-3,-2,1,0,-2,0,0,-2,-1,1,-2,-1,-1,1,-3,-1,-2,0,0,0,0,0,0,0,0,0,0,0
