ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.965332,0.9677734,0.9726563,0.9638672,0.9604492,0.9624023,0.9589844,0.9672852,0.9726563,0.9633789,0.9638672,0.9575195,0.9633789,0.9682617,0.9643555,0.9716797,0.9604492,0.9638672,0.9658203,0.96875,0.9682617,0.9682617,0.9633789,0.9643555,0.9677734,0.9628906,0.9663086,0.9648438,0.9628906,0.9628906,0.9633789,0.9638672,0.9584961,0.9926758,0.9755859,0.9389648,0.972168,0.9765625,0.9672852,1.025879,1.129395,1.123535,0.7475586,0.1606445,0.03417969,-0.09082031,-0.3852539,1.053223,0.01708984,0.1845703,0.5014648,0.4101563,0.5229492,0.3935547,0.2661133
Action 1,ALY,-0.2285156,-0.2138672,-0.2192383,-0.2133789,-0.21875,-0.2172852,-0.2163086,-0.215332,-0.2138672,-0.2148438,-0.2133789,-0.2177734,-0.21875,-0.2167969,-0.2114258,-0.2226563,-0.2109375,-0.2202148,-0.2148438,-0.222168,-0.2182617,-0.2182617,-0.2182617,-0.2250977,-0.2255859,-0.2246094,-0.2202148,-0.2192383,-0.2255859,-0.2216797,-0.2255859,-0.2255859,-0.2255859,-0.2382813,-0.230957,-0.2402344,-0.3056641,-0.2407227,-0.2446289,-0.28125,-0.2954102,-0.5761719,-0.7363281,-0.6518555,-0.5253906,-0.4633789,-0.4238281,-1.32666,-0.7583008,-0.640625,-0.824707,-0.6821289,-0.6826172,-0.7880859,-0.5732422
Action 1,ALZ,0.09472656,0.08984375,0.08349609,0.09179688,0.09863281,0.09179688,0.0859375,0.09277344,0.08837891,0.08886719,0.0859375,0.09863281,0.09960938,0.08789063,0.09521484,0.09472656,0.09326172,0.09082031,0.09619141,0.09375,0.1010742,0.1010742,0.09082031,0.1015625,0.09765625,0.09326172,0.09863281,0.09228516,0.1069336,0.105957,0.1005859,0.09667969,0.1010742,0.1015625,0.06689453,0.1201172,0.1762695,0.1147461,0.1137695,0.184082,0.2246094,0.5493164,0.5639648,0.4575195,0.34375,0.2368164,0.06054688,1.110352,0.3491211,0.3554688,0.5717773,0.4785156,0.5478516,0.5454102,0.4135742
Action 1,ARX,0.9150391,0.9213867,0.9130859,0.9160156,0.9169922,0.9174805,0.9179688,0.9150391,0.9223633,0.9223633,0.9248047,0.9169922,0.9179688,0.9145508,0.9233398,0.9238281,0.9189453,0.9223633,0.9135742,0.9125977,0.9238281,0.9238281,0.921875,0.9213867,0.921875,0.9169922,0.9204102,0.9169922,0.9204102,0.9160156,0.9150391,0.9174805,0.9130859,1.060547,1.15625,1.252441,0.9082031,0.1420898,-0.1083984,-0.03613281,-0.2163086,-0.2475586,-0.7607422,-0.453125,-0.4194336,-0.3852539,-0.9013672,1.662109,0.5507813,0.1884766,0.2060547,0.2011719,0.4057617,0.4130859,0.1782227
Action 1,ARY,0.309082,0.3222656,0.3203125,0.3037109,0.3208008,0.3139648,0.3105469,0.3037109,0.3017578,0.3046875,0.3085938,0.3154297,0.3061523,0.3100586,0.3110352,0.3071289,0.3125,0.3120117,0.3173828,0.3208008,0.3125,0.3125,0.3139648,0.3154297,0.3154297,0.3144531,0.3100586,0.3212891,0.3056641,0.3139648,0.3144531,0.3242188,0.3193359,0.4331055,0.7573242,1.140625,1.444336,0.7612305,0.6791992,0.4594727,0.2900391,0.3193359,0.5996094,0.7480469,0.9472656,0.6669922,0.4389648,1.856934,1.231934,0.6953125,0.8754883,0.7558594,0.7329102,0.7988281,0.7768555
Action 1,ARZ,0.1123047,0.1259766,0.1274414,0.105957,0.112793,0.1152344,0.1132813,0.1098633,0.1103516,0.1123047,0.1083984,0.1220703,0.1210938,0.1137695,0.1176758,0.1166992,0.1157227,0.1225586,0.121582,0.1210938,0.125,0.125,0.1196289,0.1166992,0.1210938,0.1210938,0.1240234,0.1171875,0.1206055,0.1201172,0.1162109,0.1176758,0.1254883,0.03320313,0.05126953,0.418457,0.4243164,0.4433594,0.3349609,0.1552734,-0.005371094,-0.03076172,-0.0625,0.1538086,0.2006836,0.1362305,-0.2836914,0.7358398,0.7583008,0.2412109,0.3842773,0.4438477,0.4750977,0.5444336,0.3417969
Action 1,EMG0L,-1,-2,-1,-1,1,-1,-1,-3,1,0,1,-2,-1,1,0,0,-3,0,-1,0,0,0,0,-1,0,-1,-1,1,-1,-1,-2,0,0,-2,-1,1,-2,0,-1,1,11,-1,-3,-16,-2,14,2,-2,-1,-4,3,-7,0,0,18
Action 1,EMG1L,-1,-3,-1,-1,-1,1,-3,-1,-1,-1,-1,-2,-1,-3,-1,0,-2,-1,3,-1,-2,-2,-2,0,1,-2,-1,-1,-2,-1,0,1,2,-2,-1,0,-1,0,-1,-3,6,0,-1,-25,-16,20,-2,-7,-2,-3,4,-6,-5,2,6
Action 1,EMG2L,-5,-1,-1,-1,-3,0,-4,1,-1,-1,-3,1,-1,-3,-1,0,0,-2,-1,-2,-1,-1,-1,-4,0,-1,-1,-2,-2,-3,-2,0,-1,-1,-1,0,-1,-1,-2,0,-1,10,-6,15,37,-3,7,8,-3,0,3,0,1,0,0
Action 1,EMG3L,-1,0,-2,-1,-2,-3,-2,1,0,-2,1,-1,0,-2,0,-2,-1,-2,-1,1,-2,-2,0,-3,0,-1,1,0,-1,-1,-2,1,-3,0,-1,0,-1,-3,-1,12,-9,33,-16,16,-7,-12,24,-2,-6,-2,1,9,4,-1,0
