ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0.9589844,0,0,0,0,0,0,0,0,0,0
Action 1,ALY,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,-0.234375,0,0,0,0,0,0,0,0,0,0
Action 1,ALZ,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0.1005859,0,0,0,0,0,0,0,0,0,0
Action 1,ARX,0.9003906,0.9111328,0.9091797,0.9038086,0.9077148,0.9125977,0.9208984,1.025879,1.249512,1.177734,0.4785156,0.09130859,-0.2680664,-0.28125,-0.152832,-0.08300781,0.2949219,0.5688477,0.7084961,0.6118164,0.3203125,-0.371582,-0.2553711,-0.6875,-0.722168,-0.362793,-0.5112305,0.1074219,-0.8198242,-0.09863281,-0.1308594,-0.2070313,-0.2392578,0.6025391,1.024902,1.189453,1.21875,1.120605,0.8735352,0.8520508,0.8959961,0.9580078,0.9384766,0.9526367,0.9111328,0,0,0,0,0,0,0,0,0,0
Action 1,ARY,0.3208008,0.3300781,0.331543,0.3344727,0.3266602,0.3325195,0.3242188,0.3876953,0.637207,0.855957,1.077637,1.160645,0.8203125,0.5146484,0.3984375,0.3320313,0.4165039,0.8168945,1.003418,0.9370117,0.7524414,0.6547852,0.7602539,0.9819336,1.361328,1.090332,1.09375,0.9672852,0.7236328,0.7329102,0.831543,0.7783203,0.6928711,0.2509766,0.7783203,0.3134766,0.5385742,0.3999023,0.3549805,0.4135742,0.2109375,0.2568359,0.253418,0.2519531,0.2768555,0,0,0,0,0,0,0,0,0,0
Action 1,ARZ,0.1450195,0.1533203,0.1430664,0.1381836,0.1435547,0.1337891,0.1420898,0.1381836,0.1259766,0.3173828,0.4907227,0.5444336,0.5595703,0.293457,0.1762695,-0.2216797,-0.2114258,-0.3291016,-0.3515625,-0.1210938,-0.06494141,0.1157227,-0.07226563,0.01708984,0.05029297,0.1049805,0.1938477,0.3369141,0.07910156,0.4667969,0.3076172,0.3144531,0.3188477,0.4931641,0.5161133,0.2524414,-0.05322266,-0.05810547,0.1113281,0.1650391,0.1298828,0.1235352,0.1381836,0.1557617,0.1455078,0,0,0,0,0,0,0,0,0,0
Action 1,EMG0L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG1L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG3L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
