ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.9575195,0.9609375,0.9628906,0.9619141,0.9648438,0.9609375,0.9770508,0.9794922,0.949707,0.9770508,0.9667969,0.9902344,0.9233398,0.9233398,0.9257813,0.9086914,0.9189453,0.9521484,0.9677734,0.9619141,0.9702148,0.9677734,0.9277344,0.9130859,0.9423828,0.9257813,0.9389648,0.9589844,0.9912109,0.9833984,0.9321289,0.9624023,0.9736328,0.9199219,0.9873047,0.9780273,0.9638672,0.9448242,0.9707031,0.9692383,0.9848633,0.9663086,0.9516602,0.9506836,0.9506836,0.9663086,0,0,0,0,0,0,0,0,0
Action 1,ALY,-0.2412109,-0.2392578,-0.2475586,-0.237793,-0.2353516,-0.2387695,-0.2490234,-0.2729492,-0.2402344,-0.2802734,-0.2382813,-0.253418,-0.2480469,-0.2470703,-0.2573242,-0.2539063,-0.296875,-0.3149414,-0.3105469,-0.3129883,-0.3193359,-0.3037109,-0.3208008,-0.3037109,-0.2802734,-0.2714844,-0.2631836,-0.2602539,-0.2583008,-0.2685547,-0.2709961,-0.2700195,-0.253418,-0.2397461,-0.2451172,-0.2036133,-0.2216797,-0.2299805,-0.2207031,-0.2304688,-0.2119141,-0.2324219,-0.234375,-0.2412109,-0.2382813,-0.2416992,0,0,0,0,0,0,0,0,0
Action 1,ALZ,0.1005859,0.1005859,0.1010742,0.09863281,0.1083984,0.1054688,0.1201172,0.06933594,0.07226563,0.09814453,0.09570313,0.09228516,0.06884766,0.07226563,0.05810547,0.06933594,0.1113281,0.07763672,0.1318359,0.1000977,0.1142578,0.1352539,0.1484375,0.1230469,0.1015625,0.1098633,0.1113281,0.08300781,0.09082031,0.09033203,0.08935547,0.08544922,0.07177734,0.1020508,0.1235352,0.05908203,0.09033203,0.08398438,0.08007813,0.07421875,0.07275391,0.07421875,0.112793,0.1069336,0.08349609,0.09472656,0,0,0,0,0,0,0,0,0
Action 1,ARX,0.8652344,0.8618164,0.8730469,0.8671875,0.8632813,0.8686523,0.9462891,0.9570313,1.060059,0.2958984,-0.3813477,-0.4379883,-0.4648438,-0.4619141,-0.300293,-0.2163086,-0.2666016,-0.5537109,-1.041992,-1.087891,-1.22168,-0.7666016,-0.8452148,-0.8129883,-0.7294922,-0.5712891,-0.2763672,-0.3823242,-0.3330078,-0.2753906,-0.1098633,0.2714844,0.9228516,0.8842773,0.9492188,0.9780273,0.8725586,0.8398438,0.8632813,0.8798828,0.84375,0.8774414,0.8569336,0.8481445,0.8583984,0.8681641,0,0,0,0,0,0,0,0,0
Action 1,ARY,0.4213867,0.4238281,0.4213867,0.4248047,0.4277344,0.4326172,0.5,0.8271484,1.03125,1.279785,0.9125977,0.7070313,0.4775391,0.006347656,-0.1191406,-0.237793,-0.1503906,-0.1674805,0.08642578,0.4702148,0.5283203,0.6391602,0.5488281,0.3935547,0.3061523,0.340332,0.4375,0.3994141,0.8422852,0.9267578,0.8027344,0.8769531,1.098145,0.7089844,0.3691406,0.5732422,0.5673828,0.409668,0.4326172,0.3930664,0.418457,0.3793945,0.4223633,0.4248047,0.4248047,0.4248047,0,0,0,0,0,0,0,0,0
Action 1,ARZ,0.1621094,0.1616211,0.1674805,0.1538086,0.1640625,0.1606445,0.08251953,-0.04980469,0.3793945,0.8603516,0.8662109,1.037598,0.7426758,-0.01806641,-0.3344727,-0.4799805,-0.4101563,-0.3847656,-0.2290039,-0.008300781,0.4873047,0.8579102,0.8330078,0.784668,0.597168,0.4794922,0.4741211,0.5092773,0.5859375,0.8662109,0.7241211,0.3974609,0.2338867,0.203125,0.21875,0.1845703,0.1884766,0.2084961,0.1650391,0.1523438,0.1733398,0.1694336,0.1591797,0.1796875,0.1777344,0.1811523,0,0,0,0,0,0,0,0,0
Action 1,EMG0L,6,-1,0,-3,0,-1,-1,-1,0,-1,1,1,0,-8,5,-3,-2,4,-5,-2,-1,-1,4,-2,-1,2,-5,-2,7,-4,0,-1,-1,0,0,1,-6,-2,0,-1,-2,0,-1,0,-2,-5,0,0,0,0,0,0,0,0,0
Action 1,EMG1L,1,-2,-2,1,0,-3,-1,-4,-2,0,-2,-1,-1,0,-2,1,-2,1,2,-6,0,-1,2,-4,-1,-1,1,0,-3,-4,0,-1,-1,-1,-1,-2,1,-1,-1,-2,-2,-2,0,0,-1,-3,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,-1,-2,-1,0,-2,-2,-1,-1,-1,-1,-3,0,1,-1,-1,-2,-3,1,1,-1,-1,0,0,1,-2,1,-2,-2,-4,0,0,0,-1,-1,-2,0,2,0,-1,0,-2,0,-2,-2,-1,-2,0,0,0,0,0,0,0,0,0
Action 1,EMG3L,1,-1,-3,0,-1,0,-2,-3,-1,-4,0,-1,-1,0,-1,-1,-1,-1,1,0,0,-1,0,0,-3,1,-1,0,-2,-2,-1,1,-2,0,-1,-3,0,-1,1,-1,-2,-2,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0
Action 1,EMG4L,0,-1,0,-1,-3,-2,0,-3,-1,0,-2,-1,1,-1,0,0,0,-2,-2,-2,0,-1,1,-1,-2,-2,-1,-1,-1,-2,0,0,0,-2,-2,-2,-1,-2,-1,-2,0,-3,-2,-1,-2,1,0,0,0,0,0,0,0,0,0
Action 1,EMG5L,1,-1,0,-2,0,1,-1,-1,-1,-3,0,-1,-2,1,-2,-3,4,-1,-2,2,1,0,3,-1,-4,-2,-1,-2,-3,2,1,0,-1,-1,-1,-2,1,-1,1,1,1,-2,3,0,-1,1,0,0,0,0,0,0,0,0,0
Action 1,EMG6L,0,1,-1,1,0,1,1,0,-1,0,-5,-1,-1,14,-3,-7,-8,-4,-3,12,0,-6,4,1,-3,-2,1,-2,-5,0,1,-1,-1,-2,0,0,3,-3,-1,0,-2,-2,1,-3,0,-2,0,0,0,0,0,0,0,0,0
Action 1,EMG7L,7,-1,2,-3,-2,0,-2,-1,1,-9,-7,7,15,24,2,-4,-6,5,24,6,-4,1,6,-4,-5,6,-2,-8,-2,-3,1,-1,0,-1,1,-4,18,-9,4,3,-1,1,-1,-1,-3,-17,0,0,0,0,0,0,0,0,0
Action 1,EMG0R,1,-1,1,-4,-1,-2,-2,15,-2,13,-2,-2,-1,-31,5,-5,-3,8,1,21,2,7,9,-6,-3,4,7,1,-1,-3,0,14,3,2,-5,1,2,1,-3,-2,2,0,1,-2,-1,-1,0,0,0,0,0,0,0,0,0
Action 1,EMG1R,0,-1,-1,3,-3,-3,1,-3,35,15,12,-9,-4,-19,3,2,-5,1,4,10,4,4,-6,3,-5,2,-1,-1,0,-9,-4,7,-4,0,-4,1,0,5,-1,-2,-4,-3,2,-1,3,-1,0,0,0,0,0,0,0,0,0
Action 1,EMG2R,-3,-1,-2,-2,-1,-6,-11,17,31,25,-5,1,-9,-17,1,1,-7,-5,0,0,-2,11,1,0,1,2,0,0,5,-2,-3,8,4,-1,-3,-3,1,1,-3,-3,0,-2,-2,-2,-1,-2,0,0,0,0,0,0,0,0,0
Action 1,EMG3R,0,-1,-1,-1,-1,-4,-4,-11,-5,12,-17,8,-7,-10,-1,2,6,21,-3,-21,4,12,11,7,0,1,1,-2,2,-7,-2,5,-3,-2,-3,-2,0,-1,0,-2,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG4R,-1,1,-1,-1,-3,0,-2,13,-68,-18,17,-10,-7,-5,-3,25,45,44,21,-41,-28,27,1,-8,6,-43,-24,-2,2,-18,-1,6,-1,0,-1,2,2,-3,0,-2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
Action 1,EMG5R,5,-1,0,-15,-2,2,-12,-66,-34,9,17,2,1,-10,-5,-3,8,-15,8,-5,2,7,-10,-3,3,-8,-2,-4,0,-1,-2,1,-3,4,-1,2,6,-21,3,5,2,-1,5,1,-4,-7,0,0,0,0,0,0,0,0,0
